route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
"101",1520_PO,1520_8264,"Kopiec Kościuszki",,0,PO_101-01_2,897984,0,0
"101",1521_PO,1521_8327,"Kopiec Kościuszki",,0,PO_101-01_2,899552,0,0
"100",1520_PO,1520_8267,"Plac Na Stawach",,1,PO_101-01_3,897446,0,0
"100",1521_PO,1521_8332,"Plac Na Stawach",,1,PO_101-01_3,898999,0,0
"100",1520_PO,1520_8270,"Kopiec Kościuszki",,0,PO_101-01_4,897445,0,0
"100",1521_PO,1521_8336,"Kopiec Kościuszki",,0,PO_101-01_4,898998,0,0
"101",1520_PO,1520_8276,"Os. Podwawelskie",,1,PO_101-01_5,897983,0,0
"101",1521_PO,1521_8340,"Os. Podwawelskie",,1,PO_101-01_5,899551,0,0
"101",1520_PO,1520_8281,"Kopiec Kościuszki",,0,PO_101-01_6,897984,0,0
"101",1521_PO,1521_8345,"Kopiec Kościuszki",,0,PO_101-01_6,899552,0,0
"100",1520_PO,1520_8285,"Plac Na Stawach",,1,PO_101-01_7,897446,0,0
"100",1521_PO,1521_8348,"Plac Na Stawach",,1,PO_101-01_7,898999,0,0
"100",1520_PO,1520_8289,"Kopiec Kościuszki",,0,PO_101-01_8,897445,0,0
"100",1521_PO,1521_8353,"Kopiec Kościuszki",,0,PO_101-01_8,898998,0,0
"101",1520_PO,1520_8291,"Os. Podwawelskie",,1,PO_101-01_9,897983,0,0
"101",1521_PO,1521_8358,"Os. Podwawelskie",,1,PO_101-01_9,899551,0,0
"101",1520_PO,1520_8295,"Kopiec Kościuszki",,0,PO_101-01_10,897984,0,0
"101",1521_PO,1521_8362,"Kopiec Kościuszki",,0,PO_101-01_10,899552,0,0
"100",1520_PO,1520_8298,"Plac Na Stawach",,1,PO_101-01_11,897446,0,0
"100",1521_PO,1521_8366,"Plac Na Stawach",,1,PO_101-01_11,898999,0,0
"100",1520_PO,1520_8302,"Kopiec Kościuszki",,0,PO_101-01_12,897445,0,0
"100",1521_PO,1521_8370,"Kopiec Kościuszki",,0,PO_101-01_12,898998,0,0
"101",1520_PO,1520_8306,"Os. Podwawelskie",,1,PO_101-01_13,897983,0,0
"101",1521_PO,1521_8375,"Os. Podwawelskie",,1,PO_101-01_13,899551,0,0
"101",1520_PO,1520_8310,"Kopiec Kościuszki",,0,PO_101-01_14,897984,0,0
